Parameter,Value
PURPOSE,inference
DATA_COLLECTION,0
CONDITION,nolid_cube_green_rub
OBJECT,nolid_cube
SURFACE,green_rub
EXPERIMENT_FOLDER,mgt0.5_w3
SMOOTHING_WINDOW,3
VERSION_TAG,v5_pinn
TIMESTAMP,20260223-223323
WINDOW_LEN,60
GLOBAL_IMPACT_STEP,378
PRED_MASS_KG,0.5478648543357849
MGT,0.5
PRED_MU,0.3741530478000641
MU_GT,N/A
MASS_MAE,0.04786485433578491
MASS_NMAE_PCT,2.5192028597781535
MASS_NRMSE_PCT,2.5192028597781535
MASS_SMAPE_PCT,9.135692286602213
MU_MAE,N/A
MU_NMAE_PCT,N/A
MU_NRMSE_PCT,N/A
MU_SMAPE_PCT,N/A
