Parameter,Value
PURPOSE,inference
DATA_COLLECTION,0
CONDITION,nolid_cube_green_rub
OBJECT,nolid_cube
SURFACE,green_rub
EXPERIMENT_FOLDER,mgt0.84_w5
SMOOTHING_WINDOW,5
VERSION_TAG,v1_data
TIMESTAMP,20260223-232857
WINDOW_LEN,60
GLOBAL_IMPACT_STEP,379
PRED_MASS_KG,0.6302006244659424
MGT,0.84
PRED_MU,0.4053006172180176
MU_GT,N/A
MASS_MAE,0.20979937553405759
MASS_NMAE_PCT,11.042072396529347
MASS_NRMSE_PCT,11.042072396529347
MASS_SMAPE_PCT,28.540237576115608
MU_MAE,N/A
MU_NMAE_PCT,N/A
MU_NRMSE_PCT,N/A
MU_SMAPE_PCT,N/A
