Parameter,Value
PURPOSE,inference
DATA_COLLECTION,0
CONDITION,nolid_cube_green_rub
OBJECT,nolid_cube
SURFACE,green_rub
EXPERIMENT_FOLDER,mgt0.5_w5
SMOOTHING_WINDOW,5
VERSION_TAG,v6_pinn
TIMESTAMP,20260223-225621
WINDOW_LEN,60
GLOBAL_IMPACT_STEP,380
PRED_MASS_KG,0.8139897584915161
MGT,0.5
PRED_MU,0.37982845306396484
MU_GT,N/A
MASS_MAE,0.3139897584915161
MASS_NMAE_PCT,16.525776762711374
MASS_NRMSE_PCT,16.525776762711374
MASS_SMAPE_PCT,47.791812145017325
MU_MAE,N/A
MU_NMAE_PCT,N/A
MU_NRMSE_PCT,N/A
MU_SMAPE_PCT,N/A
