Parameter,Value
PURPOSE,inference
DATA_COLLECTION,0
CONDITION,nolid_cube_green_rub
OBJECT,nolid_cube
SURFACE,green_rub
EXPERIMENT_FOLDER,mgt0.84_w7
SMOOTHING_WINDOW,7
VERSION_TAG,v5_pinn
TIMESTAMP,20260223-222801
WINDOW_LEN,60
GLOBAL_IMPACT_STEP,381
PRED_MASS_KG,0.7715876698493958
MGT,0.84
PRED_MU,0.43877410888671875
MU_GT,N/A
MASS_MAE,0.06841233015060422
MASS_NMAE_PCT,3.600648955294959
MASS_NRMSE_PCT,3.600648955294959
MASS_SMAPE_PCT,8.490053806008259
MU_MAE,N/A
MU_NMAE_PCT,N/A
MU_NRMSE_PCT,N/A
MU_SMAPE_PCT,N/A
