Parameter,Value
PURPOSE,inference
DATA_COLLECTION,0
CONDITION,nolid_cube_green_rub
OBJECT,nolid_cube
SURFACE,green_rub
EXPERIMENT_FOLDER,mgt0.5_w7
SMOOTHING_WINDOW,7
VERSION_TAG,v5_pinn
TIMESTAMP,20260223-223229
WINDOW_LEN,60
GLOBAL_IMPACT_STEP,383
PRED_MASS_KG,0.5472517609596252
MGT,0.5
PRED_MU,0.3740061819553375
MU_GT,N/A
MASS_MAE,0.047251760959625244
MASS_NMAE_PCT,2.486934787348697
MASS_NRMSE_PCT,2.486934787348697
MASS_SMAPE_PCT,9.023954453192262
MU_MAE,N/A
MU_NMAE_PCT,N/A
MU_NRMSE_PCT,N/A
MU_SMAPE_PCT,N/A
