Parameter,Value
PURPOSE,inference
DATA_COLLECTION,0
CONDITION,nolid_cube_green_rub
OBJECT,nolid_cube
SURFACE,green_rub
EXPERIMENT_FOLDER,mgt0.95_w3
SMOOTHING_WINDOW,3
VERSION_TAG,v6_pinn
TIMESTAMP,20260223-224845
WINDOW_LEN,60
GLOBAL_IMPACT_STEP,378
PRED_MASS_KG,0.855857253074646
MGT,0.95
PRED_MU,0.4871309995651245
MU_GT,N/A
MASS_MAE,0.09414274692535396
MASS_NMAE_PCT,4.954881417123893
MASS_NRMSE_PCT,4.954881417123893
MASS_SMAPE_PCT,10.426377474195911
MU_MAE,N/A
MU_NMAE_PCT,N/A
MU_NRMSE_PCT,N/A
MU_SMAPE_PCT,N/A
