Parameter,Value
PURPOSE,inference
DATA_COLLECTION,0
CONDITION,nolid_cube_green_rub
OBJECT,nolid_cube
SURFACE,green_rub
EXPERIMENT_FOLDER,mgt0.5_w5
SMOOTHING_WINDOW,5
VERSION_TAG,v1_data
TIMESTAMP,20260223-233823
WINDOW_LEN,60
GLOBAL_IMPACT_STEP,381
PRED_MASS_KG,0.6184626817703247
MGT,0.5
PRED_MU,0.40101897716522217
MU_GT,N/A
MASS_MAE,0.11846268177032471
MASS_NMAE_PCT,6.234877987911827
MASS_NRMSE_PCT,6.234877987911827
MASS_SMAPE_PCT,21.183126393241775
MU_MAE,N/A
MU_NMAE_PCT,N/A
MU_NRMSE_PCT,N/A
MU_SMAPE_PCT,N/A
