Parameter,Value
RUN_ID,5
TIMESTAMP,20260301-165239
OBJECT,wooden_cube_even_0.348
SURFACE,wood_rough
SMOOTHING_WINDOW,1
TOTAL_STEPS,699
GLOBAL_IMPACT_STEP,394
CTX_START_ABS,371
CTX_END_ABS,471
INF_START_ABS,391
INF_END_ABS,451
