Parameter,Value
RUN_ID,3
TIMESTAMP,20260301-165145
OBJECT,wooden_cube_even_0.348
SURFACE,wood_rough
SMOOTHING_WINDOW,1
TOTAL_STEPS,699
GLOBAL_IMPACT_STEP,386
CTX_START_ABS,363
CTX_END_ABS,463
INF_START_ABS,383
INF_END_ABS,443
