Parameter,Value
RUN_ID,6
TIMESTAMP,20260301-165306
OBJECT,wooden_cube_even_0.348
SURFACE,wood_rough
SMOOTHING_WINDOW,1
TOTAL_STEPS,699
GLOBAL_IMPACT_STEP,384
CTX_START_ABS,361
CTX_END_ABS,461
INF_START_ABS,381
INF_END_ABS,441
