Parameter,Value
RUN_ID,10
TIMESTAMP,20260301-165454
OBJECT,wooden_cube_even_0.348
SURFACE,wood_rough
SMOOTHING_WINDOW,1
TOTAL_STEPS,699
GLOBAL_IMPACT_STEP,366
CTX_START_ABS,343
CTX_END_ABS,443
INF_START_ABS,363
INF_END_ABS,423
