step_local,v_y,a_y,is_inference_region
0,-4.057887867030996e-05,-0.004057887867030995,0
1,-0.0008338674702332783,-0.07932885915629682,0
2,0.0007234947960019028,0.1557362266235181,0
3,0.002539877998170837,0.18163832021689344,0
4,0.004651893121595528,0.21120151234246906,0
5,0.007404882968246382,0.27529898466508546,0
6,0.012985742260023008,0.5580859291776625,0
7,0.01801878156927541,0.5033039309252401,0
8,0.024007706771144794,0.5988925201869385,0
9,0.030182400044585757,0.6174693273440963,0
10,0.03758794696324902,0.7405546918663263,0
11,0.042627578123080566,0.5039631159831547,0
12,0.0484636054580782,0.5836027334997634,0
13,0.05359222016140254,0.512861470332434,0
14,0.05868846448144418,0.5096244320041639,0
15,0.06275585609938009,0.4067391617935907,0
16,0.06775442725229867,0.4998571152918588,0
17,0.07155985597787938,0.3805428725580706,0
18,0.0752675847772848,0.3707728799405424,0
19,0.07713481731430291,0.1867232537018107,0
20,0.07999493558868857,0.2860118274385662,0
21,0.08111757967817035,0.11226440894817752,0
22,0.08286702512569769,0.1749445447527337,0
23,0.08379026542637005,0.09232403006723677,0
24,0.08497268675149039,0.11824213251203364,0
25,0.08443321709538118,-0.05394696561092094,0
26,0.0849282943463632,0.04950772509820234,0
27,0.08345946490490437,-0.14688294414588327,0
28,0.08206040728398285,-0.13990576209215178,0
29,0.08071809849105578,-0.13423087929270716,0
30,0.07954388582414909,-0.11742126669066905,0
31,0.07876222682403129,-0.07816590001177987,0
32,0.07817825783543139,-0.058396898859990054,0
33,0.07895229138851638,0.07740335530849879,0
34,0.07937231150847968,0.042002011996329636,0
35,0.07971428572700372,0.0341974218524041,0
36,0.07900669411477672,-0.07075916122269987,1
37,0.07910869476331941,0.010200064854269664,1
38,0.07811623723750741,-0.09924575258120072,1
39,0.07410979648083461,-0.4006440756672794,1
40,0.07208520657721981,-0.20245899036148013,1
41,0.0694973679135053,-0.2587838663714509,1
42,0.06759657786546062,-0.19007900480446788,1
43,0.06454807358168299,-0.3048504283777634,1
44,0.06522801382179282,0.06799402401098248,1
45,0.06436611754288539,-0.08618962789074258,1
46,0.06454735891067406,0.018124136778867317,1
47,0.06454816688994264,8.079792685744547e-05,1
48,0.0657432331771793,0.11950662872366596,1
49,0.06674050680702853,0.09972736298492352,1
50,0.06824132904129225,0.15008222342637184,1
51,0.06906870787487723,0.08273788335849824,1
52,0.07006586074013679,0.09971528652595596,1
53,0.07029156226989768,0.022570152976088276,1
54,0.07080265479500113,0.05110925251034515,1
55,0.07127360444543458,0.04709496504334554,1
56,0.07241781881519146,0.11442143697568824,0
57,0.07360374384513597,0.11859250299445095,0
58,0.07614759167974436,0.2543847834608384,0
59,0.07758961713019755,0.14420254504531882,0
60,0.07824333688893595,0.06537197587384025,0
61,0.0792359950852056,0.09926581962696468,0
62,0.07933387823892367,0.009788315371807299,0
63,0.07839891547099577,-0.09349627679278993,0
64,0.07860865872121833,0.020974325022256324,0
65,0.07827674946969675,-0.03319092515215866,0
66,0.07826356060539003,-0.0013188864306720727,0
67,0.07844870219592785,0.018514159053782675,0
68,0.07880603165885794,0.03573294629300866,0
69,0.07964871716036673,0.08426855015087886,0
70,0.08011942297147431,0.04707058111075857,0
71,0.08108305110342087,0.0963628131946559,0
72,0.08170701136836608,0.06239602649452114,0
73,0.08191125269077018,0.02042413224040973,0
74,0.08166197320838778,-0.024927948238240294,0
75,0.08168265918322791,0.0020685974840131682,0
76,0.0808995900437259,-0.07830691395020045,0
77,0.07996128011762922,-0.09383099260966837,0
78,0.07927767177040354,-0.0683608347225681,0
79,0.07821665138354854,-0.10610203868550022,0
80,0.07722871510669951,-0.09879362768490246,0
81,0.0764469017889052,-0.0781813317794311,0
82,0.07707070374320768,0.062380195430247753,0
83,0.07687103595161877,-0.019966779158890613,0
84,0.07667816213880718,-0.0192873812811592,0
85,0.07761916671781813,0.09410045790109456,0
86,0.07815450765147929,0.053534093366115754,0
87,0.07772279159174958,-0.043171605972970595,0
88,0.07758828860432262,-0.013450298742695432,0
89,0.07756278680516898,-0.0025501799153643256,0
90,0.07720385956573844,-0.035892723943053984,0
91,0.07677920006360359,-0.04246595021348554,0
92,0.07612590216811321,-0.06532978954903734,0
93,0.07671664160064913,0.059073943253591665,0
94,0.07729292978770064,0.05762881870515074,0
95,0.0774333323526747,0.014040256497406534,0
96,0.07783565560427533,0.04023232516006253,0
97,0.07880905445224899,0.09733988479736638,0
98,0.0793241175681779,0.05150631159289015,0
99,0.08026366016984263,0.09395426016647335,0
