Surface,Object,Trial,Distance_m,Time_s,Accel_m_s2,mu_k
Wood Rough,Blue Cylinder,1,1.12,0.81,3.4141,0.2344
Wood Rough,Blue Cylinder,2,1.12,0.87,2.9594,0.2897
Wood Rough,Blue Cylinder,3,1.12,0.84,3.1746,0.2635
Wood Rough,Blue Cylinder,4,1.12,1.01,2.1959,0.3825
Wood Rough,Blue Cylinder,5,1.12,1.06,1.9936,0.4071
Wood Rough,Blue Cylinder,6,1.12,0.92,2.6465,0.3277
Wood Rough,Blue Cylinder,7,1.12,0.99,2.2855,0.3716
Wood Rough,Blue Cylinder,8,1.12,1.15,1.6938,0.4435
Wood Rough,Blue Cylinder,9,1.12,1.4,1.1429,0.5105
Wood Rough,Blue Cylinder,10,1.12,1.43,1.0954,0.5163
Wood Rough,Colored Cubes,1,1.09,0.75,3.8756,0.1784
Wood Rough,Colored Cubes,2,1.09,0.76,3.7742,0.1907
Wood Rough,Colored Cubes,3,1.09,0.74,3.981,0.1655
Wood Rough,Colored Cubes,4,1.09,0.77,3.6768,0.2025
Wood Rough,Colored Cubes,5,1.09,0.75,3.8756,0.1784
Wood Rough,Colored Cubes,6,1.09,0.72,4.2052,0.1383
Wood Rough,Colored Cubes,7,1.09,0.76,3.7742,0.1907
Wood Rough,Colored Cubes,8,1.09,0.72,4.2052,0.1383
Wood Rough,Colored Cubes,9,1.09,0.77,3.6768,0.2025
Wood Rough,Colored Cubes,10,1.09,0.78,3.5832,0.2139
Wood Rough,Wooden Cube,1,1.081,0.79,3.4642,0.2284
Wood Rough,Wooden Cube,2,1.081,0.77,3.6465,0.2062
Wood Rough,Wooden Cube,3,1.081,0.78,3.5536,0.2175
Wood Rough,Wooden Cube,4,1.081,0.71,4.2888,0.1281
Wood Rough,Wooden Cube,5,1.081,0.74,3.9481,0.1695
Wood Rough,Wooden Cube,6,1.081,0.75,3.8436,0.1822
Wood Rough,Wooden Cube,7,1.081,0.71,4.2888,0.1281
Wood Rough,Wooden Cube,8,1.081,0.75,3.8436,0.1822
Wood Rough,Wooden Cube,9,1.081,0.68,4.6756,0.0811
Wood Rough,Wooden Cube,10,1.081,0.69,4.5411,0.0975


--- STATISTICS ---
Surface,Object,Trials,Avg_mu_k,Std_Dev,Rel_Error_%
Green Rub,No Lid Cube,10,0.5135,0.0114,2.22
Green Rub,Blue Cylinder,10,0.3654,0.0272,7.45
Green Rub,Colored Cubes,10,0.2987,0.0432,14.47
Green Rub,Wooden Cube,10,0.3103,0.0248,8.0
Wood Smooth,No Lid Cube,10,0.3421,0.0425,12.42
Wood Smooth,Blue Cylinder,10,0.2724,0.0393,14.43
Wood Smooth,Colored Cubes,10,0.158,0.0255,16.12
Wood Smooth,Wooden Cube,10,0.1802,0.0483,26.79
Wood Rough,No Lid Cube,10,0.255,0.0331,12.99
Wood Rough,Blue Cylinder,10,0.3747,0.0976,26.06
Wood Rough,Colored Cubes,10,0.1799,0.026,14.45
Wood Rough,Wooden Cube,10,0.1621,0.0509,31.4
