Parameter,Value
RUN_ID,2
TIMESTAMP,20260226-174651
OBJECT,colored_cubes_0.397
SURFACE,green_rub
SMOOTHING_WINDOW,1
TOTAL_STEPS,696
GLOBAL_IMPACT_STEP,375
CTX_START_ABS,352
CTX_END_ABS,452
INF_START_ABS,372
INF_END_ABS,432
