Parameter,Value
PURPOSE,inference
DATA_COLLECTION,0
CONDITION,nolid_cube_green_rub
OBJECT,nolid_cube
SURFACE,green_rub
EXPERIMENT_FOLDER,mgt0.39_w7
SMOOTHING_WINDOW,7
VERSION_TAG,v1_data
TIMESTAMP,20260223-234100
WINDOW_LEN,60
GLOBAL_IMPACT_STEP,367
PRED_MASS_KG,0.32161059975624084
MGT,0.39
PRED_MU,0.43549108505249023
MU_GT,N/A
MASS_MAE,0.06838940024375917
MASS_NMAE_PCT,3.5994421180925875
MASS_NRMSE_PCT,3.5994421180925875
MASS_SMAPE_PCT,19.22101786206829
MU_MAE,N/A
MU_NMAE_PCT,N/A
MU_NRMSE_PCT,N/A
MU_SMAPE_PCT,N/A
