Parameter,Value
PURPOSE,inference
DATA_COLLECTION,0
CONDITION,nolid_cube_green_rub
OBJECT,nolid_cube
SURFACE,green_rub
EXPERIMENT_FOLDER,mgt0.68_w3
SMOOTHING_WINDOW,3
VERSION_TAG,v5_pinn
TIMESTAMP,20260223-223035
WINDOW_LEN,60
GLOBAL_IMPACT_STEP,379
PRED_MASS_KG,0.7154715061187744
MGT,0.68
PRED_MU,0.42994609475135803
MU_GT,N/A
MASS_MAE,0.035471506118774365
MASS_NMAE_PCT,1.866921374672335
MASS_NRMSE_PCT,1.866921374672335
MASS_SMAPE_PCT,5.0838022794791815
MU_MAE,N/A
MU_NMAE_PCT,N/A
MU_NRMSE_PCT,N/A
MU_SMAPE_PCT,N/A
