Parameter,Value
PURPOSE,inference
DATA_COLLECTION,0
CONDITION,nolid_cube_green_rub
OBJECT,nolid_cube
SURFACE,green_rub
EXPERIMENT_FOLDER,mgt0.39_w7
SMOOTHING_WINDOW,7
VERSION_TAG,v5_pinn
TIMESTAMP,20260223-222649
WINDOW_LEN,60
GLOBAL_IMPACT_STEP,382
PRED_MASS_KG,0.40050509572029114
MGT,0.39
PRED_MU,0.34422704577445984
MU_GT,N/A
MASS_MAE,0.010505095720291124
MASS_NMAE_PCT,0.5528997747521645
MASS_NRMSE_PCT,0.5528997747521645
MASS_SMAPE_PCT,2.6578185965314005
MU_MAE,N/A
MU_NMAE_PCT,N/A
MU_NRMSE_PCT,N/A
MU_SMAPE_PCT,N/A
