Parameter,Value
RUN_ID,1
TIMESTAMP,20260226-235702
OBJECT,blue_cylinder_0.175
SURFACE,wood_smooth
SMOOTHING_WINDOW,1
TOTAL_STEPS,698
GLOBAL_IMPACT_STEP,340
CTX_START_ABS,317
CTX_END_ABS,417
INF_START_ABS,337
INF_END_ABS,397
