Parameter,Value
RUN_ID,5
TIMESTAMP,20260226-235848
OBJECT,blue_cylinder_0.175
SURFACE,wood_smooth
SMOOTHING_WINDOW,1
TOTAL_STEPS,699
GLOBAL_IMPACT_STEP,356
CTX_START_ABS,333
CTX_END_ABS,433
INF_START_ABS,353
INF_END_ABS,413
