Parameter,Value
RUN_ID,4
TIMESTAMP,20260226-181137
OBJECT,blue_cylinder_0.169
SURFACE,green_rub
SMOOTHING_WINDOW,1
TOTAL_STEPS,697
GLOBAL_IMPACT_STEP,362
CTX_START_ABS,339
CTX_END_ABS,439
INF_START_ABS,359
INF_END_ABS,419
