Parameter,Value
PURPOSE,inference
DATA_COLLECTION,0
CONDITION,color_cubes_ycb_green_rub
OBJECT,color_cubes_ycb
SURFACE,green_rub
EXPERIMENT_FOLDER,mgt0.99_w7
SMOOTHING_WINDOW,7
VERSION_TAG,v1_data
TIMESTAMP,20260223-232303
WINDOW_LEN,60
GLOBAL_IMPACT_STEP,382
PRED_MASS_KG,0.6392539143562317
MGT,0.99
PRED_MU,0.42623692750930786
MU_GT,N/A
MASS_MAE,0.3507460856437683
MASS_NMAE_PCT,18.46032029704044
MASS_NRMSE_PCT,18.46032029704044
MASS_SMAPE_PCT,43.05603719017104
MU_MAE,N/A
MU_NMAE_PCT,N/A
MU_NRMSE_PCT,N/A
MU_SMAPE_PCT,N/A
