Parameter,Value
PURPOSE,inference
DATA_COLLECTION,0
CONDITION,nolid_cube_green_rub
OBJECT,nolid_cube
SURFACE,green_rub
EXPERIMENT_FOLDER,mgt0.58_w7
SMOOTHING_WINDOW,7
VERSION_TAG,v1_data
TIMESTAMP,20260223-233712
WINDOW_LEN,60
GLOBAL_IMPACT_STEP,383
PRED_MASS_KG,0.5975817441940308
MGT,0.58
PRED_MU,0.4189477562904358
MU_GT,N/A
MASS_MAE,0.0175817441940308
MASS_NMAE_PCT,0.9253549575805686
MASS_NRMSE_PCT,0.9253549575805686
MASS_SMAPE_PCT,2.986076216061625
MU_MAE,N/A
MU_NMAE_PCT,N/A
MU_NRMSE_PCT,N/A
MU_SMAPE_PCT,N/A
