Parameter,Value
PURPOSE,inference
DATA_COLLECTION,0
CONDITION,nolid_cube_green_rub
OBJECT,nolid_cube
SURFACE,green_rub
EXPERIMENT_FOLDER,mgt0.5_w7
SMOOTHING_WINDOW,7
VERSION_TAG,v6_pinn
TIMESTAMP,20260223-225656
WINDOW_LEN,60
GLOBAL_IMPACT_STEP,382
PRED_MASS_KG,0.9006364345550537
MGT,0.5
PRED_MU,0.4081467092037201
MU_GT,N/A
MASS_MAE,0.4006364345550537
MASS_NMAE_PCT,21.08612813447651
MASS_NRMSE_PCT,21.08612813447651
MASS_SMAPE_PCT,57.20776993529025
MU_MAE,N/A
MU_NMAE_PCT,N/A
MU_NRMSE_PCT,N/A
MU_SMAPE_PCT,N/A
