Parameter,Value
PURPOSE,inference
DATA_COLLECTION,0
CONDITION,nolid_cube_green_rub
OBJECT,nolid_cube
SURFACE,green_rub
EXPERIMENT_FOLDER,mgt0.5_w7
SMOOTHING_WINDOW,7
VERSION_TAG,v6_pinn
TIMESTAMP,20260223-225724
WINDOW_LEN,60
GLOBAL_IMPACT_STEP,382
PRED_MASS_KG,0.8657987713813782
MGT,0.5
PRED_MU,0.47904619574546814
MU_GT,N/A
MASS_MAE,0.3657987713813782
MASS_NMAE_PCT,19.25256691480938
MASS_NRMSE_PCT,19.25256691480938
MASS_SMAPE_PCT,53.56554406787273
MU_MAE,N/A
MU_NMAE_PCT,N/A
MU_NRMSE_PCT,N/A
MU_SMAPE_PCT,N/A
