Parameter,Value
RUN_ID,4
TIMESTAMP,20260226-164942
OBJECT,colored_cubes_0.167
SURFACE,green_rub
SMOOTHING_WINDOW,1
TOTAL_STEPS,697
GLOBAL_IMPACT_STEP,366
CTX_START_ABS,343
CTX_END_ABS,443
INF_START_ABS,363
INF_END_ABS,423
