Parameter,Value
RUN_ID,9
TIMESTAMP,20260226-165155
OBJECT,colored_cubes_0.167
SURFACE,green_rub
SMOOTHING_WINDOW,1
TOTAL_STEPS,695
GLOBAL_IMPACT_STEP,363
CTX_START_ABS,340
CTX_END_ABS,440
INF_START_ABS,360
INF_END_ABS,420
