Parameter,Value
RUN_ID,1
TIMESTAMP,20260226-164823
OBJECT,colored_cubes_0.167
SURFACE,green_rub
SMOOTHING_WINDOW,1
TOTAL_STEPS,696
GLOBAL_IMPACT_STEP,402
CTX_START_ABS,379
CTX_END_ABS,479
INF_START_ABS,399
INF_END_ABS,459
