Parameter,Value
PURPOSE,inference
DATA_COLLECTION,0
CONDITION,blue_can_ycb_green_rub
OBJECT,blue_can_ycb
SURFACE,green_rub
EXPERIMENT_FOLDER,mgt0.35_w3
SMOOTHING_WINDOW,3
VERSION_TAG,v6_pinn
TIMESTAMP,20260223-231111
WINDOW_LEN,60
GLOBAL_IMPACT_STEP,383
PRED_MASS_KG,0.9047650694847107
MGT,0.35
PRED_MU,0.4006173014640808
MU_GT,N/A
MASS_MAE,0.5547650694847107
MASS_NMAE_PCT,29.19816155182688
MASS_NRMSE_PCT,29.19816155182688
MASS_SMAPE_PCT,88.42532884861608
MU_MAE,N/A
MU_NMAE_PCT,N/A
MU_NRMSE_PCT,N/A
MU_SMAPE_PCT,N/A
