Parameter,Value
PURPOSE,inference
DATA_COLLECTION,0
CONDITION,blue_can_ycb_green_rub
OBJECT,blue_can_ycb
SURFACE,green_rub
EXPERIMENT_FOLDER,mgt0.35_w3
SMOOTHING_WINDOW,3
VERSION_TAG,v6_pinn
TIMESTAMP,20260223-231137
WINDOW_LEN,60
GLOBAL_IMPACT_STEP,374
PRED_MASS_KG,0.3202647864818573
MGT,0.35
PRED_MU,0.4562411904335022
MU_GT,N/A
MASS_MAE,0.029735213518142678
MASS_NMAE_PCT,1.565011237796983
MASS_NRMSE_PCT,1.565011237796983
MASS_SMAPE_PCT,8.872676625075112
MU_MAE,N/A
MU_NMAE_PCT,N/A
MU_NRMSE_PCT,N/A
MU_SMAPE_PCT,N/A
