Parameter,Value
PURPOSE,inference
DATA_COLLECTION,0
CONDITION,nolid_cube_green_rub
OBJECT,nolid_cube
SURFACE,green_rub
EXPERIMENT_FOLDER,mgt0.5_w5
SMOOTHING_WINDOW,5
VERSION_TAG,v5_pinn
TIMESTAMP,20260223-223257
WINDOW_LEN,60
GLOBAL_IMPACT_STEP,369
PRED_MASS_KG,0.36181414127349854
MGT,0.5
PRED_MU,0.3467618525028229
MU_GT,N/A
MASS_MAE,0.13818585872650146
MASS_NMAE_PCT,7.272939932973761
MASS_NRMSE_PCT,7.272939932973761
MASS_SMAPE_PCT,32.06859857794974
MU_MAE,N/A
MU_NMAE_PCT,N/A
MU_NRMSE_PCT,N/A
MU_SMAPE_PCT,N/A
