Parameter,Value
RUN_ID,9
TIMESTAMP,20260226-121807
OBJECT,nolid_cube_0.798
SURFACE,green_rub
SMOOTHING_WINDOW,1
TOTAL_STEPS,699
GLOBAL_IMPACT_STEP,381
CTX_START_ABS,358
CTX_END_ABS,458
INF_START_ABS,378
INF_END_ABS,438
