Parameter,Value
PURPOSE,inference
DATA_COLLECTION,0
CONDITION,nolid_cube_green_rub
OBJECT,nolid_cube
SURFACE,green_rub
EXPERIMENT_FOLDER,mgt0.84_w3
SMOOTHING_WINDOW,3
VERSION_TAG,v6_pinn
TIMESTAMP,20260223-225146
WINDOW_LEN,60
GLOBAL_IMPACT_STEP,379
PRED_MASS_KG,0.862333357334137
MGT,0.84
PRED_MU,0.47384417057037354
MU_GT,N/A
MASS_MAE,0.022333357334136994
MASS_NMAE_PCT,1.1754398596914208
MASS_NRMSE_PCT,1.1754398596914208
MASS_SMAPE_PCT,2.62385240093176
MU_MAE,N/A
MU_NMAE_PCT,N/A
MU_NRMSE_PCT,N/A
MU_SMAPE_PCT,N/A
