Parameter,Value
PURPOSE,inference
DATA_COLLECTION,0
CONDITION,nolid_cube_green_rub
OBJECT,nolid_cube
SURFACE,green_rub
EXPERIMENT_FOLDER,mgt0.68_w5
SMOOTHING_WINDOW,5
VERSION_TAG,v6_pinn
TIMESTAMP,20260223-230106
WINDOW_LEN,60
GLOBAL_IMPACT_STEP,378
PRED_MASS_KG,0.9075806140899658
MGT,0.68
PRED_MU,0.40116220712661743
MU_GT,N/A
MASS_MAE,0.22758061408996577
MASS_NMAE_PCT,11.977927057366621
MASS_NRMSE_PCT,11.977927057366621
MASS_SMAPE_PCT,28.67011754491846
MU_MAE,N/A
MU_NMAE_PCT,N/A
MU_NRMSE_PCT,N/A
MU_SMAPE_PCT,N/A
