Parameter,Value
PURPOSE,inference
DATA_COLLECTION,0
CONDITION,nolid_cube_green_rub
OBJECT,nolid_cube
SURFACE,green_rub
EXPERIMENT_FOLDER,mgt0.39_w3
SMOOTHING_WINDOW,3
VERSION_TAG,v6_pinn
TIMESTAMP,20260223-225248
WINDOW_LEN,60
GLOBAL_IMPACT_STEP,377
PRED_MASS_KG,0.33646535873413086
MGT,0.39
PRED_MU,0.4497569501399994
MU_GT,N/A
MASS_MAE,0.053534641265869154
MASS_NMAE_PCT,2.81761269820364
MASS_NRMSE_PCT,2.81761269820364
MASS_SMAPE_PCT,14.738387900327005
MU_MAE,N/A
MU_NMAE_PCT,N/A
MU_NRMSE_PCT,N/A
MU_SMAPE_PCT,N/A
