Parameter,Value
PURPOSE,inference
DATA_COLLECTION,0
CONDITION,nolid_cube_green_rub
OBJECT,nolid_cube
SURFACE,green_rub
EXPERIMENT_FOLDER,mgt0.84_w3
SMOOTHING_WINDOW,3
VERSION_TAG,v1_data
TIMESTAMP,20260223-232935
WINDOW_LEN,60
GLOBAL_IMPACT_STEP,377
PRED_MASS_KG,0.6315287947654724
MGT,0.84
PRED_MU,0.40786686539649963
MU_GT,N/A
MASS_MAE,0.20847120523452756
MASS_NMAE_PCT,10.972168696554082
MASS_NRMSE_PCT,10.972168696554082
MASS_SMAPE_PCT,28.333962063957173
MU_MAE,N/A
MU_NMAE_PCT,N/A
MU_NRMSE_PCT,N/A
MU_SMAPE_PCT,N/A
