Parameter,Value
RUN_ID,1
TIMESTAMP,20260226-232913
OBJECT,blue_cylinder_0.175
SURFACE,wood_rough
SMOOTHING_WINDOW,1
TOTAL_STEPS,698
GLOBAL_IMPACT_STEP,292
CTX_START_ABS,269
CTX_END_ABS,369
INF_START_ABS,289
INF_END_ABS,349
