Parameter,Value
RUN_ID,2
TIMESTAMP,20260226-232939
OBJECT,blue_cylinder_0.175
SURFACE,wood_rough
SMOOTHING_WINDOW,1
TOTAL_STEPS,698
GLOBAL_IMPACT_STEP,372
CTX_START_ABS,349
CTX_END_ABS,449
INF_START_ABS,369
INF_END_ABS,429
