Parameter,Value
RUN_ID,3
TIMESTAMP,20260226-233006
OBJECT,blue_cylinder_0.175
SURFACE,wood_rough
SMOOTHING_WINDOW,1
TOTAL_STEPS,699
GLOBAL_IMPACT_STEP,306
CTX_START_ABS,283
CTX_END_ABS,383
INF_START_ABS,303
INF_END_ABS,363
