Parameter,Value
PURPOSE,inference
DATA_COLLECTION,0
CONDITION,nolid_cube_green_rub
OBJECT,nolid_cube
SURFACE,green_rub
EXPERIMENT_FOLDER,mgt0.68_w7
SMOOTHING_WINDOW,7
VERSION_TAG,v5_pinn
TIMESTAMP,20260223-223131
WINDOW_LEN,60
GLOBAL_IMPACT_STEP,382
PRED_MASS_KG,0.600369930267334
MGT,0.68
PRED_MU,0.3987453579902649
MU_GT,N/A
MASS_MAE,0.07963006973266606
MASS_NMAE_PCT,4.191056301719267
MASS_NRMSE_PCT,4.191056301719267
MASS_SMAPE_PCT,12.438603539531695
MU_MAE,N/A
MU_NMAE_PCT,N/A
MU_NRMSE_PCT,N/A
MU_SMAPE_PCT,N/A
