Parameter,Value
RUN_ID,6
TIMESTAMP,20260227-190044
OBJECT,nolid_cube_0.498
SURFACE,wood_rough
SMOOTHING_WINDOW,1
TOTAL_STEPS,698
GLOBAL_IMPACT_STEP,367
CTX_START_ABS,344
CTX_END_ABS,444
INF_START_ABS,364
INF_END_ABS,424
