Parameter,Value
PURPOSE,inference
DATA_COLLECTION,0
CONDITION,nolid_cube_green_rub
OBJECT,nolid_cube
SURFACE,green_rub
EXPERIMENT_FOLDER,mgt0.5_w3
SMOOTHING_WINDOW,3
VERSION_TAG,v1_data
TIMESTAMP,20260223-233851
WINDOW_LEN,60
GLOBAL_IMPACT_STEP,378
PRED_MASS_KG,0.5375699400901794
MGT,0.5
PRED_MU,0.4135560989379883
MU_GT,N/A
MASS_MAE,0.03756994009017944
MASS_NMAE_PCT,1.977365267904181
MASS_NRMSE_PCT,1.977365267904181
MASS_SMAPE_PCT,7.241909897064691
MU_MAE,N/A
MU_NMAE_PCT,N/A
MU_NRMSE_PCT,N/A
MU_SMAPE_PCT,N/A
