step_local,v_y,a_y,is_inference_region
0,0.08046287314384891,0.07987264621058254,0
1,0.08029898128302802,-0.016389186082088614,0
2,0.07961439608433796,-0.06845851986900658,0
3,0.0786414719507968,-0.09729241335411504,0
4,0.07932659113273847,0.0685119181941668,0
5,0.07918555624038169,-0.01410348923567839,0
6,0.07811445536270394,-0.10711008776777553,0
7,0.07692743602228902,-0.1187019340414916,0
8,0.07579025709534432,-0.11371789269447041,0
9,0.07649893452153297,0.07086774261886586,0
10,0.07712257408028785,0.0623639558754871,0
11,0.07772217056801996,0.05995964877321125,0
12,0.0782405143745275,0.051834380650754575,0
13,0.0778544354894413,-0.03860788850861968,0
14,0.07776105605536257,-0.009337943407873583,0
15,0.07797987167262506,0.021881561726248833,0
16,0.07783683099042114,-0.014304068220391541,0
17,0.07852339124582715,0.06865602554060046,0
18,0.07774300422009066,-0.07803870257364898,0
19,0.07802807447448953,0.028507025439887534,0
20,0.07698110767322158,-0.10469668012679512,1
21,0.07648796300491369,-0.049314466830789605,1
22,0.07611588839336458,-0.037207461154910304,1
23,0.07431903917564751,-0.17968492177170697,1
24,0.07491743047994415,0.05983913042966332,1
25,0.07412473666152568,-0.0792693818418469,1
26,0.07495419337796771,0.08294567164420369,1
27,0.07368133483181778,-0.12728585461499325,1
28,0.0739742680963314,0.029293326451361457,1
29,0.07399432993804762,0.002006184171622627,1
30,0.07431082728633755,0.03164973482899236,1
31,0.07495845103245949,0.0647623746121942,1
32,0.07484023256973316,-0.011821846272633274,1
33,0.0751456886709105,0.03054561011773399,1
34,0.07504576629556785,-0.009992237534264814,1
35,0.07562742292768622,0.05816566321183714,1
36,0.07721163506818758,0.1584212140501362,1
37,0.07879053796819546,0.15789029000078808,1
38,0.08002596390113713,0.12354259329416667,1
39,0.07863081068635154,-0.13951532147855883,1
40,0.07775750703111546,-0.08733036552360796,1
41,0.07767964304921336,-0.0077863981902098756,1
42,0.07753893902695064,-0.014070402226272483,1
43,0.07706637952055795,-0.04725595063926891,1
44,0.07572685108422988,-0.13395284363280635,1
45,0.0769342110901639,0.12073600059340217,1
46,0.07679071122731802,-0.014349986284588334,1
47,0.07876895374232144,0.197824251500342,1
48,0.07946683719987892,0.06978834575574744,1
49,0.07963480883775993,0.016797163788101477,1
50,0.07911955349587353,-0.05152553418864003,1
51,0.07773486827703914,-0.13846852188343917,1
52,0.07850802648525111,0.07731582082119715,1
53,0.07834032039949758,-0.016770608575353285,1
54,0.07914933370748208,0.08090133079844963,1
55,0.07861079510724088,-0.053853860024119515,1
56,0.07896254739861071,0.03517522913698279,1
57,0.07983043303484628,0.08678856362355769,1
58,0.08212029518887108,0.22898621540247965,1
59,0.08208464431909789,-0.0035650869773196092,1
60,0.08184834736200093,-0.02362969570969542,1
61,0.08004039083059394,-0.18079565314069873,1
62,0.07969145991963945,-0.03489309109544897,1
63,0.07876599491045812,-0.09254650091813366,1
64,0.07698126499191961,-0.1784729918538508,1
65,0.07568834150728591,-0.12929234846336957,1
66,0.07542408751906203,-0.02642539882238837,1
67,0.07580648872728185,0.03824012082198208,1
68,0.07649302029909565,0.06865315718137949,1
69,0.07523121101492844,-0.12618092841672063,1
70,0.07583604396504749,0.06048329501190525,1
71,0.07627956199217385,0.04435180271263606,1
72,0.07762108677290422,0.1341524780730366,1
73,0.07777385473569531,0.015276796279109495,1
74,0.07887318965434022,0.10993349186449036,1
75,0.07894577921165424,0.0072589557314026165,1
76,0.07890202098047168,-0.004375823118256406,1
77,0.07939796913634507,0.04959481558733936,1
78,0.07985420309328851,0.04562339569434415,1
79,0.0799496780557283,0.009547496243977882,1
80,0.07871887796074489,-0.12308000949834003,0
81,0.07852281912630243,-0.019605883444245853,0
82,0.07937688743152292,0.08540683052204873,0
83,0.07922278535873802,-0.015410207278490629,0
84,0.07995404842037629,0.07312630616382737,0
85,0.07924947511831026,-0.0704573302066025,0
86,0.07882226399273871,-0.042721112557154994,0
87,0.07799129020158448,-0.08309737911542381,0
88,0.07869317624570005,0.07018860441155711,0
89,0.07878103255836744,0.008785631266738925,0
90,0.08036509430645525,0.15840617480878116,0
91,0.07960527908086258,-0.07598152255926666,0
92,0.0811637735902317,0.15584945093691238,0
93,0.08007767397203622,-0.1086099618195488,0
94,0.07989407893677575,-0.018359503526046983,0
95,0.07767878968573488,-0.2215289251040864,0
96,0.0764611773746839,-0.12176123110509834,0
97,0.07610919653398937,-0.03519808406945296,0
98,0.07740616660918637,0.1296970075196996,0
99,0.07783550977311131,0.042934316392494176,0
