Parameter,Value
PURPOSE,inference
DATA_COLLECTION,0
CONDITION,color_cubes_ycb_green_rub
OBJECT,color_cubes_ycb
SURFACE,green_rub
EXPERIMENT_FOLDER,mgt0.99_w3
SMOOTHING_WINDOW,3
VERSION_TAG,v6_pinn
TIMESTAMP,20260223-231338
WINDOW_LEN,60
GLOBAL_IMPACT_STEP,379
PRED_MASS_KG,0.8727948069572449
MGT,0.99
PRED_MU,0.4844784140586853
MU_GT,N/A
MASS_MAE,0.11720519304275512
MASS_NMAE_PCT,6.168694370671322
MASS_NRMSE_PCT,6.168694370671322
MASS_SMAPE_PCT,12.583800706874658
MU_MAE,N/A
MU_NMAE_PCT,N/A
MU_NRMSE_PCT,N/A
MU_SMAPE_PCT,N/A
