Parameter,Value
PURPOSE,inference
DATA_COLLECTION,0
CONDITION,nolid_cube_green_rub
OBJECT,nolid_cube
SURFACE,green_rub
EXPERIMENT_FOLDER,mgt0.84_w7
SMOOTHING_WINDOW,7
VERSION_TAG,v6_pinn
TIMESTAMP,20260223-225039
WINDOW_LEN,60
GLOBAL_IMPACT_STEP,381
PRED_MASS_KG,0.871578574180603
MGT,0.84
PRED_MU,0.4749956727027893
MU_GT,N/A
MASS_MAE,0.03157857418060306
MASS_NMAE_PCT,1.66203022003174
MASS_NRMSE_PCT,1.66203022003174
MASS_SMAPE_PCT,3.689994097492242
MU_MAE,N/A
MU_NMAE_PCT,N/A
MU_NRMSE_PCT,N/A
MU_SMAPE_PCT,N/A
