Parameter,Value
PURPOSE,inference
DATA_COLLECTION,0
CONDITION,nolid_cube_green_rub
OBJECT,nolid_cube
SURFACE,green_rub
EXPERIMENT_FOLDER,mgt0.58_w7
SMOOTHING_WINDOW,7
VERSION_TAG,v5_pinn
TIMESTAMP,20260223-223517
WINDOW_LEN,60
GLOBAL_IMPACT_STEP,381
PRED_MASS_KG,0.5349577069282532
MGT,0.58
PRED_MU,0.37015044689178467
MU_GT,N/A
MASS_MAE,0.045042293071746786
MASS_NMAE_PCT,2.370647003776147
MASS_NRMSE_PCT,2.370647003776147
MASS_SMAPE_PCT,8.079641549066439
MU_MAE,N/A
MU_NMAE_PCT,N/A
MU_NRMSE_PCT,N/A
MU_SMAPE_PCT,N/A
