step,v_y,a_y,is_context_region,is_inference_region
0,0.00010004311440789055,0.010004311440789055,0,0
1,0.0030518232438806626,0.2951780129472772,0,0
2,0.005152151108996277,0.21003278651156143,0,0
3,0.013514962561879467,0.836281145288319,0,0
4,0.024433796612864774,1.0918834050985307,0,0
5,0.04055291953762716,1.6119122924762384,0,0
6,0.05389658907871313,1.334366954108597,0,0
7,0.067598227191769,1.3701638113055872,0,0
8,0.07058557127225076,0.2987344080481763,0,0
9,0.07739755706356419,0.6811985791313424,0,0
10,0.08196094163621613,0.45633845726519434,0,0
11,0.088312932305119,0.6351990668902865,0,0
12,0.09649305694676136,0.8180124641642361,0,0
13,0.09837600776267769,0.18829508159163288,0,0
14,0.09710324341580306,-0.1272764346874622,0,0
15,0.0995517916246512,0.2448548208848142,0,0
16,0.10107203807092485,0.1520246446273646,0,0
17,0.10456849895596596,0.3496460885041103,0,0
18,0.10317680223599186,-0.1391696719974092,0,0
19,0.1056232172265526,0.24464149905607385,0,0
20,0.10058581236518736,-0.5037404861365238,0,0
21,0.10288459253823708,0.22987801730497137,0,0
22,0.10050658239406829,-0.2378010144168788,0,0
23,0.09878978724309197,-0.17167951509763218,0,0
24,0.09887378633284985,0.008399908975788295,0,0
25,0.09518425927073487,-0.3689527062114978,0,0
26,0.09303060125721152,-0.21536580135233518,0,0
27,0.088606180754145,-0.44244205030665174,0,0
28,0.08835445235031571,-0.025172840382929607,0,0
29,0.08751522876019796,-0.08392235901177464,0,0
30,0.0855579119681257,-0.19573167920722556,0,0
31,0.08397319618905758,-0.158471577906813,0,0
32,0.08219086671220331,-0.17823294768542636,0,0
33,0.08191961683003068,-0.02712498821726278,0,0
34,0.07799394367047921,-0.3925673159551474,0,0
35,0.07903132878795519,0.10373851174759752,0,0
36,0.08034586885476727,0.13145400668120866,0,0
37,0.07624533418510353,-0.4100534669663744,0,0
38,0.07546600433169803,-0.07793298534054943,0,0
39,0.0776620152691096,0.21960109374115633,0,0
40,0.07783464233612475,0.017262706701515196,0,0
41,0.07094996529174101,-0.6884677044383738,0,0
42,0.07648545032266789,0.5535485030926879,0,0
43,0.07803783326902176,0.15523829463538752,0,0
44,0.0755118094425619,-0.2526023826459861,0,0
