Parameter,Value
RUN_ID,4
TIMESTAMP,20260227-181620
OBJECT,wooden_cube_0.570
SURFACE,wood_smooth
SMOOTHING_WINDOW,1
TOTAL_STEPS,699
GLOBAL_IMPACT_STEP,397
CTX_START_ABS,374
CTX_END_ABS,474
INF_START_ABS,394
INF_END_ABS,454
