Parameter,Value
RUN_ID,8
TIMESTAMP,20260301-165928
OBJECT,wooden_cube_even_0.348
SURFACE,wood_smooth
SMOOTHING_WINDOW,1
TOTAL_STEPS,698
GLOBAL_IMPACT_STEP,391
CTX_START_ABS,368
CTX_END_ABS,468
INF_START_ABS,388
INF_END_ABS,448
