Parameter,Value
RUN_ID,3
TIMESTAMP,20260301-165713
OBJECT,wooden_cube_even_0.348
SURFACE,wood_smooth
SMOOTHING_WINDOW,1
TOTAL_STEPS,699
GLOBAL_IMPACT_STEP,374
CTX_START_ABS,351
CTX_END_ABS,451
INF_START_ABS,371
INF_END_ABS,431
