Parameter,Value
PURPOSE,inference
DATA_COLLECTION,0
CONDITION,nolid_cube_green_rub
OBJECT,nolid_cube
SURFACE,green_rub
EXPERIMENT_FOLDER,mgt0.68_w5
SMOOTHING_WINDOW,5
VERSION_TAG,v5_pinn
TIMESTAMP,20260223-223105
WINDOW_LEN,60
GLOBAL_IMPACT_STEP,381
PRED_MASS_KG,0.7148580551147461
MGT,0.68
PRED_MU,0.42990821599960327
MU_GT,N/A
MASS_MAE,0.034858055114746045
MASS_NMAE_PCT,1.8346344797234762
MASS_NRMSE_PCT,1.8346344797234762
MASS_SMAPE_PCT,4.9980791933525435
MU_MAE,N/A
MU_NMAE_PCT,N/A
MU_NRMSE_PCT,N/A
MU_SMAPE_PCT,N/A
