Parameter,Value
PURPOSE,inference
DATA_COLLECTION,0
CONDITION,nolid_cube_green_rub
OBJECT,nolid_cube
SURFACE,green_rub
EXPERIMENT_FOLDER,mgt0.84_w7
SMOOTHING_WINDOW,7
VERSION_TAG,v1_data
TIMESTAMP,20260223-232827
WINDOW_LEN,60
GLOBAL_IMPACT_STEP,382
PRED_MASS_KG,0.6344822645187378
MGT,0.84
PRED_MU,0.4230242967605591
MU_GT,N/A
MASS_MAE,0.20551773548126218
MASS_NMAE_PCT,10.81672292006643
MASS_NRMSE_PCT,10.81672292006643
MASS_SMAPE_PCT,27.876596474131475
MU_MAE,N/A
MU_NMAE_PCT,N/A
MU_NRMSE_PCT,N/A
MU_SMAPE_PCT,N/A
