step,v_y,a_y,is_context_region,is_inference_region
0,-0.00021363659404272767,-0.021363659404272768,0,0
1,0.0007364841187787737,0.09501207128215014,0,0
2,0.003144573625958932,0.24080895071801584,0,0
3,0.011996301925586352,0.8851728299627419,0,0
4,0.02402190125789452,1.2025599332308168,0,0
5,0.03806345176922358,1.404155051132906,0,0
6,0.05166961778297218,1.3606166013748602,0,0
7,0.06488188856963,1.3212270786657814,0,0
8,0.06671129360222879,0.1829405032598791,0,0
9,0.07147226813870212,0.4760974536473339,0,0
10,0.08491814406918168,1.344587593047955,0,0
11,0.08627902283343818,0.13608787642565012,0,0
12,0.09236623638223067,0.6087213548792492,0,0
13,0.09619098146131633,0.3824745079085659,0,0
14,0.0973426427725137,0.11516613111973717,0,0
15,0.10001895981276077,0.2676317040247067,0,0
16,0.10031599840216035,0.029703858939958416,0,0
17,0.1009156744171403,0.059967601497995515,0,0
18,0.1063286957165437,0.5413021299403394,0,0
19,0.104449757424392,-0.18789382921517023,0,0
20,0.10289950635222177,-0.15502510721702306,0,0
21,0.0973540304439135,-0.5545475908308269,0,0
22,0.09915938231737516,0.18053518734616608,0,0
23,0.09562313910418675,-0.3536243213188406,0,0
24,0.09555143353467352,-0.007170556951323348,0,0
25,0.09590114635546164,0.034971282078812005,0,0
26,0.0895579544512881,-0.634319190417354,0,0
27,0.0864262882320117,-0.3131666219276394,0,0
28,0.08768319298264834,0.12569047506366393,0,0
29,0.08917571809676235,0.14925251141140045,0,0
30,0.08600628705733773,-0.31694310394246167,0,0
31,0.08505970115431255,-0.09465859030251822,0,0
32,0.08334636575940535,-0.17133353949072005,0,0
33,0.07784082925575751,-0.5505536503647837,0,0
34,0.07878789771603163,0.09470684602741197,0,0
35,0.07555018327232807,-0.32377144437035627,0,0
36,0.07736510760027841,0.1814924327950343,0,0
37,0.07734593272008791,-0.001917488019050062,0,0
38,0.07383006315348643,-0.3515869566601479,0,0
39,0.07453142176604105,0.07013586125546173,0,0
40,0.07535467827772968,0.08232565116886303,0,0
41,0.07466252007696404,-0.06921582007656385,0,0
42,0.07505692728990074,0.039440721293669545,0,0
43,0.07424912921636426,-0.08077980735364809,0,0
44,0.07343208709264352,-0.0817042123720732,0,0
45,0.07367682485515693,0.02447377625134084,0,0
46,0.07678492343094392,0.3108098575786991,0,0
47,0.07858646992920898,0.18015464982650553,0,0
48,0.07895174112226226,0.036527119305328204,0,0
49,0.07474717050291582,-0.420457061934644,0,0
50,0.07585209486449244,0.1104924361576623,0,0
51,0.07825415144297554,0.24020565784830944,0,0
52,0.07751777752680036,-0.07363739161751759,0,0
53,0.07899820890929607,0.1480431382495706,0,0
54,0.07576409005383826,-0.323411885545781,0,0
55,0.07366138174695552,-0.21027083068827362,0,0
56,0.07411647998387973,0.04550982369242035,0,0
57,0.07870452695722856,0.45880469733488305,0,0
58,0.0779968862304161,-0.0707640726812453,0,0
59,0.07493480589199997,-0.3062080338416137,0,0
60,0.07586510402306543,0.09302981310654601,0,0
61,0.07781615792155956,0.19510538984941345,0,0
62,0.0759362382576042,-0.18799196639553567,0,0
63,0.08027770751328767,0.4341469255683461,0,0
64,0.07572161535366373,-0.4556092159623937,0,0
65,0.08064398529771515,0.4922369944051416,0,0
66,0.08418706992014356,0.3543084622428416,0,0
67,0.07810711648125757,-0.6079953438885995,0,0
68,0.08101873518597585,0.29116187047182884,0,0
69,0.08040668393528709,-0.061205125068876376,0,0
70,0.07669494692923684,-0.371173700605025,0,0
71,0.0771713349891013,0.04763880598644549,0,0
72,0.07779817156947873,0.06268365803774323,0,0
73,0.0781591775518009,0.03610059823221795,0,0
74,0.07843140435059273,0.027222679879182476,0,0
75,0.08155722371352996,0.3125819362937224,0,0
76,0.07975719679136528,-0.18000269221646742,0,0
77,0.08042247064380202,0.06652738524367402,0,0
78,0.07842496499893653,-0.1997505644865491,0,0
79,0.07703493438140689,-0.1390030617529639,0,0
80,0.08072555605655508,0.36906216751481924,0,0
81,0.07814705551900399,-0.25785005375510983,0,0
82,0.08041296258759636,0.22659070685923793,0,0
83,0.0786273591715069,-0.17856034160894652,0,0
84,0.07629501204010677,-0.23323471314001254,0,0
85,0.07868669016767699,0.23916781275702126,0,0
86,0.07718405485487614,-0.1502635312800843,0,0
87,0.0769636852289747,-0.022036962590143983,0,0
88,0.07367301092646308,-0.32906743025116203,0,0
89,0.07315768650087154,-0.05153244255915457,0,0
90,0.07693889978286111,0.3781213281989576,0,0
91,0.08227855204852759,0.5339652265666475,0,0
92,0.07890063621253657,-0.33779158359910216,0,0
93,0.0801731408997008,0.1272504687164236,0,0
94,0.08090820896554626,0.07350680658454595,0,0
95,0.07990024302079068,-0.10079659447555789,0,0
96,0.07869619970626246,-0.12040433145282248,0,0
97,0.07688458501523653,-0.1811614691025934,0,0
98,0.07767043244540715,0.07858474301706275,0,0
99,0.08163088382327627,0.39604513778691147,0,0
100,0.08235441303649967,0.07235292132233978,0,0
101,0.08035329771154541,-0.20011153249542557,0,0
102,0.07999341564714234,-0.0359882064403072,0,0
103,0.07984524561649665,-0.014817003064568346,0,0
104,0.07996326928726136,0.011802367076470255,0,0
105,0.07813478411871869,-0.18284851685426706,0,0
106,0.0761033589083506,-0.20314252103680874,0,0
107,0.07906206480958786,0.29587059012372574,0,0
