Parameter,Value
PURPOSE,inference
DATA_COLLECTION,0
CONDITION,nolid_cube_green_rub
OBJECT,nolid_cube
SURFACE,green_rub
EXPERIMENT_FOLDER,mgt0.84_w5
SMOOTHING_WINDOW,5
VERSION_TAG,v6_pinn
TIMESTAMP,20260223-225113
WINDOW_LEN,60
GLOBAL_IMPACT_STEP,378
PRED_MASS_KG,0.7867019176483154
MGT,0.84
PRED_MU,0.39220690727233887
MU_GT,N/A
MASS_MAE,0.05329808235168454
MASS_NMAE_PCT,2.8051622290360285
MASS_NRMSE_PCT,2.8051622290360285
MASS_SMAPE_PCT,6.552900906238104
MU_MAE,N/A
MU_NMAE_PCT,N/A
MU_NRMSE_PCT,N/A
MU_SMAPE_PCT,N/A
