Parameter,Value
PURPOSE,inference
DATA_COLLECTION,0
CONDITION,nolid_cube_green_rub
OBJECT,nolid_cube
SURFACE,green_rub
EXPERIMENT_FOLDER,mgt0.39_w5
SMOOTHING_WINDOW,5
VERSION_TAG,v6_pinn
TIMESTAMP,20260223-225431
WINDOW_LEN,60
GLOBAL_IMPACT_STEP,377
PRED_MASS_KG,0.5625078678131104
MGT,0.39
PRED_MU,0.42042475938796997
MU_GT,N/A
MASS_MAE,0.17250786781311034
MASS_NMAE_PCT,9.079361463847913
MASS_NRMSE_PCT,9.079361463847913
MASS_SMAPE_PCT,36.2218252767142
MU_MAE,N/A
MU_NMAE_PCT,N/A
MU_NRMSE_PCT,N/A
MU_SMAPE_PCT,N/A
