Parameter,Value
PURPOSE,inference
DATA_COLLECTION,0
CONDITION,nolid_cube_green_rub
OBJECT,nolid_cube
SURFACE,green_rub
EXPERIMENT_FOLDER,mgt0.39_w5
SMOOTHING_WINDOW,5
VERSION_TAG,v6_pinn
TIMESTAMP,20260223-225315
WINDOW_LEN,60
GLOBAL_IMPACT_STEP,381
PRED_MASS_KG,0.9139396548271179
MGT,0.39
PRED_MU,0.37639227509498596
MU_GT,N/A
MASS_MAE,0.5239396548271179
MASS_NMAE_PCT,27.575771306690417
MASS_NRMSE_PCT,27.575771306690417
MASS_SMAPE_PCT,80.36256170099898
MU_MAE,N/A
MU_NMAE_PCT,N/A
MU_NRMSE_PCT,N/A
MU_SMAPE_PCT,N/A
