Parameter,Value
PURPOSE,inference
DATA_COLLECTION,0
CONDITION,nolid_cube_green_rub
OBJECT,nolid_cube
SURFACE,green_rub
EXPERIMENT_FOLDER,mgt0.39_w3
SMOOTHING_WINDOW,3
VERSION_TAG,v1_data
TIMESTAMP,20260223-233944
WINDOW_LEN,60
GLOBAL_IMPACT_STEP,455
PRED_MASS_KG,0.44730937480926514
MGT,0.39
PRED_MU,0.45406854152679443
MU_GT,N/A
MASS_MAE,0.05730937480926512
MASS_NMAE_PCT,3.0162828846981644
MASS_NRMSE_PCT,3.0162828846981644
MASS_SMAPE_PCT,13.688936618515685
MU_MAE,N/A
MU_NMAE_PCT,N/A
MU_NRMSE_PCT,N/A
MU_SMAPE_PCT,N/A
