Parameter,Value
PURPOSE,inference
DATA_COLLECTION,0
CONDITION,color_cubes_ycb_green_rub
OBJECT,color_cubes_ycb
SURFACE,green_rub
EXPERIMENT_FOLDER,mgt0.99_w3
SMOOTHING_WINDOW,3
VERSION_TAG,v1_data
TIMESTAMP,20260223-232443
WINDOW_LEN,60
GLOBAL_IMPACT_STEP,378
PRED_MASS_KG,0.6446130275726318
MGT,0.99
PRED_MU,0.4363000988960266
MU_GT,N/A
MASS_MAE,0.34538697242736816
MASS_NMAE_PCT,18.178261706703587
MASS_NRMSE_PCT,18.178261706703587
MASS_SMAPE_PCT,42.259172856374576
MU_MAE,N/A
MU_NMAE_PCT,N/A
MU_NRMSE_PCT,N/A
MU_SMAPE_PCT,N/A
