Timestamp,Px,Py,Pz,Speed_m_s,Vx,Vy,Vz
1771976225.3132,-0.2462,0.0792,0.7758,0.6337,-0.1982,0.0732,0.6019
1771976225.3632,-0.2361,0.0749,0.7427,0.6916,0.2025,-0.0865,-0.6613
1771976225.5143,-0.2492,0.0799,0.7853,0.7331,-0.2146,0.0780,0.7010
1771976225.8163,-0.2486,0.0790,0.7827,0.8399,-0.2516,0.0818,0.8013
1771976225.8658,-0.2468,0.0788,0.7776,0.1112,0.0382,-0.0044,-0.1044
1771976226.0170,-0.2361,0.0749,0.7427,0.8895,0.2612,-0.0987,-0.8503
1771976226.2178,-0.2468,0.0788,0.7776,0.1939,0.0627,-0.0235,-0.1834
1771976226.5695,-0.2361,0.0749,0.7427,0.9122,0.2730,-0.0997,-0.8704
1771976226.6198,-0.2475,0.0789,0.7789,0.7533,-0.2276,0.0783,0.7182
1771976226.6703,-0.2468,0.0788,0.7776,0.0302,0.0155,-0.0015,-0.0258
1771976226.8713,-0.2361,0.0749,0.7427,0.0000,0.0000,0.0000,0.0000
1771976226.9207,-0.2361,0.0749,0.7427,0.0000,0.0000,0.0000,0.0000
1771976227.3234,-0.2361,0.0749,0.7427,0.0000,0.0000,0.0000,0.0000
1771976227.3738,-0.2492,0.0799,0.7853,0.8831,-0.2594,0.0980,0.8442
1771976227.9758,-0.2455,0.0788,0.7776,0.0258,0.0258,0.0000,0.0000
