Parameter,Value
RUN_ID,7
TIMESTAMP,20260226-164112
OBJECT,wooden_cube_0.570
SURFACE,green_rub
SMOOTHING_WINDOW,1
TOTAL_STEPS,695
GLOBAL_IMPACT_STEP,375
CTX_START_ABS,352
CTX_END_ABS,452
INF_START_ABS,372
INF_END_ABS,432
