Parameter,Value
PURPOSE,inference
DATA_COLLECTION,0
CONDITION,nolid_cube_green_rub
OBJECT,nolid_cube
SURFACE,green_rub
EXPERIMENT_FOLDER,mgt0.58_w3
SMOOTHING_WINDOW,3
VERSION_TAG,v6_pinn
TIMESTAMP,20260223-225914
WINDOW_LEN,60
GLOBAL_IMPACT_STEP,378
PRED_MASS_KG,0.8681557178497314
MGT,0.58
PRED_MU,0.4803028106689453
MU_GT,N/A
MASS_MAE,0.2881557178497315
MASS_NMAE_PCT,15.166090413143763
MASS_NRMSE_PCT,15.166090413143763
MASS_SMAPE_PCT,39.79623383010142
MU_MAE,N/A
MU_NMAE_PCT,N/A
MU_NRMSE_PCT,N/A
MU_SMAPE_PCT,N/A
