Parameter,Value
RUN_ID,4
TIMESTAMP,20260226-163222
OBJECT,wooden_cube_0.348
SURFACE,green_rub
SMOOTHING_WINDOW,1
TOTAL_STEPS,695
GLOBAL_IMPACT_STEP,397
CTX_START_ABS,374
CTX_END_ABS,474
INF_START_ABS,394
INF_END_ABS,454
