Parameter,Value
RUN_ID,2
TIMESTAMP,20260226-163129
OBJECT,wooden_cube_0.348
SURFACE,green_rub
SMOOTHING_WINDOW,1
TOTAL_STEPS,695
GLOBAL_IMPACT_STEP,364
CTX_START_ABS,341
CTX_END_ABS,441
INF_START_ABS,361
INF_END_ABS,421
