Parameter,Value
RUN_ID,8
TIMESTAMP,20260226-235502
OBJECT,blue_cylinder_0.376
SURFACE,wood_smooth
SMOOTHING_WINDOW,1
TOTAL_STEPS,699
GLOBAL_IMPACT_STEP,387
CTX_START_ABS,364
CTX_END_ABS,464
INF_START_ABS,384
INF_END_ABS,444
