step_local,v_x,v_y,v_z,w_x,w_y,w_z,a_x,a_y,a_z,aw_x,aw_y,aw_z,is_inference_window
0,0.000410610327159448,0.00026151346219232136,-2.8714487081853227e-05,-0.00028044711045737,-0.001116723517433002,0.00042767611885334296,0.0410610327159448,0.026151346219232135,-0.002871448708185323,-0.028044711045736997,-0.1116723517433002,0.042767611885334296,0
1,6.336088988089718e-05,0.0003982660913838745,-0.00010336817666522733,0.0002136419823031365,-0.0005690810187015381,0.000518798457699166,-0.03472494372785508,0.013675262919155315,-0.00746536895833741,0.04940890927605065,0.054764249873146396,0.009112233884582304,0
2,-0.0010176266773358658,0.001074162880669198,-0.00029952681701838935,0.001404648768902361,0.0010889271375693387,0.0017465954044923492,-0.10809875672167629,0.06758967892853235,-0.0196158640353162,0.11910067865992244,0.16580081562708768,0.1227796946793183,0
3,-0.0030383888453764324,0.002723738640497596,-0.0007080087513931748,0.0035459401126427407,0.004694752086414028,0.003614085705512633,-0.20207621680405663,0.16495757598283978,-0.040848193437478544,0.214129134374038,0.3605824948844689,0.1867490301020284,0
4,-0.005260613611431186,0.005218398623444896,-0.0006652994977316611,0.006336111392721164,0.007878551024944773,0.008253011147605275,-0.22222247660547534,0.24946599829473004,0.004270925366151371,0.27901712800784234,0.3183798938530745,0.4638925442092641,1
5,-0.008765401057896947,0.00987383399121369,-0.0010973022436969561,0.01105098518998727,0.014258641679556549,0.012691651213847391,-0.3504787446465761,0.4655435367768793,-0.04320027459652951,0.4714873797266106,0.6380090654611776,0.44386400662421166,1
6,-0.012563715161084631,0.01647188331890343,-0.001414924855187166,0.01725741086053595,0.021584002752889637,0.017202947266038077,-0.37983141031876844,0.6598049327689741,-0.03176226114902098,0.6206425670548679,0.7325361073333089,0.45112960521906853,1
7,-0.01682745948332321,0.024148696795246137,-0.0022887278852507416,0.023013255163456585,0.030388393374826978,0.02291216428472268,-0.42637443222385796,0.7676813476342705,-0.08738030300635756,0.5755844302920636,0.880439062193734,0.5709217018684605,1
8,-0.01968150042606273,0.03227446881301099,-0.0024756168005953946,0.029127905283701055,0.03682529572814556,0.027123189295404842,-0.285404094273952,0.8125772017764855,-0.0186888915344653,0.611465012024447,0.6436902353318581,0.421102501068216,1
9,-0.022414082453439337,0.04099571294275957,-0.0026466231466532367,0.03550368200292545,0.04426432625117573,0.029971630203505628,-0.2732582027376605,0.8721244129748575,-0.01710063460578421,0.6375776719224399,0.7439030523030173,0.2848440908100786,1
